Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Christian Arroyo","BOS",,0.033980582,0.218446601,0.637523451,0.128205128,0.295302013,3.033343607031534,0.184210526,0.453947368,0.361842105,0.054545454,0.2941,47,3,23,24,7,1,66,16,0,3,195,0.4317,0.6111,"Christian Arroyo",16434,624414
"Carson Kelly","- - -",,0.092715231,0.264900662,0.5649104,0.080882353,0.27368421,2.874860694946318,0.164948453,0.422680412,0.412371134,0.05,0.268,28,2,13,13,14,1,52,5,0,0,136,0.3155,0.61,"Carson Kelly",13620,608348
"Trent Grisham","SDP",,0.135135135,0.277477477,0.66635782,0.153518123,0.264026402,5.049911545837025,0.218954248,0.352941176,0.428104575,0.099236641,0.3,93,13,67,50,75,15,153,31,1,3,469,0.2432,0.6095,"Trent Grisham",18564,663757
"Chas McCormick","HOU",,0.087527352,0.256017505,0.841903921,0.215880893,0.330827067,5.400753975086548,0.211267605,0.408450704,0.38028169,0.203703703,0.3391,110,22,59,70,40,19,115,17,2,6,403,0.3296,0.6091,"Chas McCormick",19599,676801
"Josh Lowe","TBR",,0.061876247,0.24750499,0.835329341,0.208154507,0.356923076,6.763751822987249,0.212827988,0.396501457,0.390670553,0.149253731,0.313,136,20,71,83,31,32,135,33,2,3,466,0.3895,0.6091,"Josh Lowe",19953,666139
"Jonathan Schoop","DET",,0.086092715,0.245033112,0.550204518,0.058823529,0.287128712,1.7499999962500001,0.207920792,0.455445544,0.336633663,0,0.3267,29,0,15,7,13,0,55,8,0,0,136,0.3684,0.609,"Jonathan Schoop",11265,570731
"Luis Urías","- - -",,0.118644067,0.231638418,0.635753968,0.104166667,0.25,1.555900615,0.126213592,0.466019417,0.40776699,0.071428571,0.2524,28,3,18,18,21,0,52,6,0,0,144,0.2847,0.608,"Luis Urias",16622,649966
"LaMonte Wade Jr.","SFG",,0.146435452,0.183044315,0.79006495,0.160839161,0.289719626,3.3737613064843828,0.206586826,0.38023952,0.413173652,0.123188405,0.3226,110,17,64,45,76,2,135,14,2,0,429,0.2065,0.6078,"LaMonte Wade Jr.",18126,664774
"Jorge Polanco","MIN",,0.104956268,0.256559766,0.788919351,0.198675497,0.310344827,3.25493332095896,0.24537037,0.287037037,0.467592592,0.138613861,0.3041,77,14,38,48,36,4,80,18,0,0,302,0.3147,0.6075,"Jorge Polanco",13152,593871
"Donovan Solano","MIN",,0.088888888,0.222222222,0.759751832,0.109137056,0.365517241,1.644569465,0.26779661,0.406779661,0.325423728,0.052083333,0.3627,111,5,43,38,40,0,134,26,1,0,394,0.3362,0.6074,"Donovan Solano",8623,456781
