Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Yoán Moncada","CHW",,0.136363636,0.254870129,0.786538461,0.148076923,0.35042735,2.7882848117714323,0.265753424,0.438356164,0.29589041,0.129629629,0.4055,137,14,74,61,84,3,144,33,1,2,520,0.2719,0.5758,"Yoan Moncada",17232,660162
"Zach McKinstry","LAD",,0.058139534,0.290697674,0.668221185,0.189873418,0.262135922,2.6776629053329972,0.183486238,0.43119266,0.3853211,0.166666666,0.3694,34,7,19,29,10,1,60,9,0,1,158,0.3367,0.5758,"Zach McKinstry",19392,656716
"Jonathan Villar","NYM",,0.091089108,0.261386138,0.738367153,0.167400881,0.3125,4.9300432718619955,0.206896551,0.485893416,0.307210031,0.183673469,0.2901,113,18,63,42,46,14,142,18,2,7,454,0.3215,0.5757,"Jonathan Villar",10071,542340
"Gavin Lux","LAD",,0.107611548,0.217847769,0.692263093,0.12238806,0.299595141,5.586220162292973,0.212598425,0.472440944,0.314960629,0.0875,0.3031,81,7,49,46,41,4,102,12,4,1,335,0.2634,0.5755,"Gavin Lux",19955,666158
"Rob Refsnyder","MIN",,0.108280254,0.25477707,0.66297026,0.09352518,0.326530612,3.5014068042995965,0.23,0.42,0.35,0.057142857,0.34,34,2,21,12,17,1,51,7,0,0,139,0.2208,0.5747,"Rob Refsnyder",13770,608701
"George Springer","TOR",,0.108187134,0.230994152,0.907090104,0.2909699,0.28643216,4.68920586323629,0.208144796,0.325791855,0.466063348,0.213592233,0.3439,79,22,59,50,37,4,78,19,1,1,299,0.2707,0.5742,"George Springer",12856,543807
"Jake Meyers","HOU",,0.061349693,0.306748466,0.76133753,0.178082192,0.351648351,4.7083582354421205,0.237113402,0.43298969,0.329896907,0.1875,0.3333,38,6,22,28,10,3,49,8,0,0,146,0.3104,0.5738,"Jake Meyers",20308,676694
"Tres Barrera","WSN",,0.112149532,0.205607476,0.758447159,0.120879121,0.328358208,2.370798315,0.275362318,0.463768115,0.260869565,0.111111111,0.2464,24,2,8,10,12,0,30,3,1,0,91,0.2969,0.5735,"Tres Barrera",19977,668663
"Dansby Swanson","ATL",,0.079632465,0.255742725,0.760329284,0.200680272,0.296758104,4.175810096471164,0.199063231,0.398126463,0.402810304,0.156976744,0.331,146,27,78,88,52,9,160,33,2,3,588,0.2907,0.5718,"Dansby Swanson",18314,621020
"Derek Hill","DET",,0.066666666,0.28,0.701822541,0.129496403,0.351063829,7.1015339977190495,0.288888888,0.411111111,0.3,0.111111111,0.268,36,3,19,14,10,6,49,3,3,3,139,0.3387,0.5714,"Derek Hill",16947,656537
"Joey Votto","CIN",,0.14446529,0.238273921,0.937734521,0.296875,0.287197231,2.165234640898424,0.264615384,0.316923076,0.418461538,0.264705882,0.4492,119,36,73,99,77,1,129,23,1,0,448,0.2466,0.571,"Joey Votto",4314,458015
"Brad Miller","PHI",,0.119363395,0.297082228,0.774127112,0.226586103,0.276381909,5.148337939728411,0.178899082,0.45412844,0.366972477,0.25,0.4292,75,20,53,49,45,3,140,9,3,0,331,0.2821,0.5691,"Brad Miller",12775,543543
"Adam Engel","CHW",,0.078571428,0.221428571,0.831649244,0.243902439,0.279069767,5.852611919983644,0.225806451,0.419354838,0.354838709,0.212121212,0.3118,31,7,21,18,11,7,39,9,0,1,123,0.3683,0.569,"Adam Engel",15082,641553
"DJ Peters","- - -",,0.05,0.341666666,0.663191329,0.224215246,0.236641221,4.913139658253871,0.125,0.388888888,0.486111111,0.185714285,0.4028,44,13,29,38,12,2,70,9,1,0,223,0.3961,0.5686,"DJ Peters",19348,656847
"Brian Anderson","MIA",,0.098484848,0.246212121,0.714803615,0.128755365,0.316770186,3.6342007529063114,0.148809523,0.488095238,0.363095238,0.114754098,0.2917,58,7,24,28,26,5,67,9,0,0,233,0.3188,0.5684,"Brian Anderson",18289,605119
